,count,mean,std,min,25%,50%,75%,max
pk_1,10014.0,223.8719792290793,18.941672700241654,175.0,215.0,235.0,236.0,247.0
pk_2,10014.0,3120.0458358298383,3677.032707741691,969.0,1040.0,1356.0,1583.0,10350.0
pk_3,10014.0,31.08028759736369,19.22763979549843,12.0,21.0,23.0,30.0,108.0
pk_4,10014.0,12409.639504693429,1445.6362476959223,9999.0,11105.0,12089.0,13731.0,19998.0
pk_5,10014.0,111235024.59666467,8087246.8702045875,100011099.0,103217263.0,109497922.5,119446475.0,160060987.0
data_1,10014.0,62.89344917116038,565.5415882643407,-69.0,3.0,8.0,19.0,31743.0
data_2,10014.0,9593.554896145395,76493.91496327143,-8295.0,135.64499999999998,447.3,1718.87,4038490.0
