,pk_1,pk_2,pk_3,pk_4,pk_5,data_1,data_2
67,196,10335,22,11042,100012040,12,400.16
68,215,983,22,11001,100012105,4,104.71
69,215,1002,22,11001,100012105,4,104.7
70,215,1003,22,11001,100012105,29,762.02
71,223,1639,22,11001,100012105,48,222130.0
72,233,1567,22,11001,100012105,24,7029.07
73,236,1011,22,11001,100012105,18,733.17
74,236,1012,22,11001,100012105,19,770.25
75,236,1015,22,11001,100012105,21,860.37
76,236,1016,22,11001,100012105,14,573.88
77,236,1026,22,11001,100012105,10,410.99
78,236,1028,22,11001,100012105,54,2221.83
79,236,1039,22,11001,100012105,8,318.2
80,236,1040,22,11001,100012105,14,569.59
81,236,1044,22,11001,100012105,11,436.75
82,236,1058,22,11001,100012105,12,494.87
83,236,1119,22,11001,100012105,17,687.06
84,236,1120,22,11001,100012105,14,565.97
85,236,1121,22,11001,100012105,9,368.03
86,236,1122,22,11001,100012105,4,164.96
87,236,1381,22,11001,100012105,13,530.72
88,236,1383,22,11001,100012105,17,693.9
89,236,1385,22,11001,100012105,23,915.7
90,236,1386,22,11001,100012105,5,206.12
91,238,993,22,11001,100012105,8,320.32
92,244,10071,22,11001,100012105,122,3540.79
93,244,10081,22,11001,100012105,71,2087.04
94,223,1421,22,11001,100012105,8,30908.0
95,196,10299,22,11001,100012105,7,754.01
96,196,10300,22,11001,100012105,13,1397.88
97,196,10301,22,11001,100012105,4,385.59
98,196,10319,22,11001,100012105,12,1290.62
99,196,10320,22,11001,100012105,4,432.94
100,196,10322,22,11001,100012105,21,2263.87
101,196,10350,22,11001,100012105,5,530.52
102,196,10308,22,11001,100012105,13,1383.1
103,196,10334,22,11001,100012105,17,1835.06
104,196,10335,22,11001,100012105,7,696.53
105,175,1069,22,11001,100012105,21,657.2
106,236,1582,22,11001,100012105,19,774.81
107,236,1583,22,11001,100012105,18,740.78
108,236,1584,22,11001,100012105,5,195.62
109,236,1559,22,11001,100012105,12,474.65
110,233,1524,22,11001,100012105,11,3221.69
111,236,1011,22,12197,100012466,255,4796.25
112,236,1012,22,12197,100012466,226,4253.02
113,236,1015,22,12197,100012466,245,4509.13
114,236,1016,22,12197,100012466,96,1766.72
115,236,1026,22,12197,100012466,299,5653.78
116,236,1028,22,12197,100012466,231,4302.15
117,236,1039,22,12197,100012466,36,675.53
118,236,1040,22,12197,100012466,26,494.87
119,236,1043,22,12197,100012466,34,639.03
120,236,1044,22,12197,100012466,15,277.14
121,236,1058,22,12197,100012466,31743,604137.42
122,236,1119,22,12197,100012466,56,1032.28
123,236,1120,22,12197,100012466,67,1264.23
124,236,1121,22,12197,100012466,41,766.82
125,236,1122,22,12197,100012466,27,510.57
126,236,1381,22,12197,100012466,257,4828.73
127,236,1383,22,12197,100012466,210,3921.69
128,236,1384,22,12197,100012466,24,452.61
129,236,1385,22,12197,100012466,23,411.3
130,236,1386,22,12197,100012466,155,2889.91
131,236,1582,22,12197,100012466,281,5216.71
132,236,1583,22,12197,100012466,107,2011.71
133,236,1584,22,12197,100012466,156,2719.0
134,236,1559,22,12197,100012466,15,282.71
135,236,1011,22,11039,100012741,33,273.66
136,236,1012,22,11039,100012741,19,157.31
137,236,1015,22,11039,100012741,13,107.82
138,236,1016,22,11039,100012741,4,33.22
139,236,1026,22,11039,100012741,22,182.27
140,236,1028,22,11039,100012741,33,273.59
141,236,1039,22,11039,100012741,8,66.46
142,236,1040,22,11039,100012741,1,8.29
143,236,1043,22,11039,100012741,8,66.52
144,236,1044,22,11039,100012741,9,74.83
145,236,1058,22,11039,100012741,1670,13823.64
146,236,1119,22,11039,100012741,13,107.96
147,236,1120,22,11039,100012741,23,190.81
148,236,1121,22,11039,100012741,15,124.31
149,236,1122,22,11039,100012741,16,132.7
150,236,1381,22,11039,100012741,28,232.11
151,236,1383,22,11039,100012741,19,157.66
152,236,1384,22,11039,100012741,13,107.82
153,236,1385,22,11039,100012741,12,96.9
154,236,1386,22,11039,100012741,7,58.01
155,240,1036,22,11039,100012741,10,111.1
156,240,1045,22,11039,100012741,12,133.49
157,240,1068,22,11039,100012741,4,44.23
158,244,10071,22,11039,100012741,553,3268.19
159,244,10081,22,11039,100012741,306,1812.76
160,244,10082,22,11039,100012741,45,266.41
161,196,10298,22,11039,100012741,540,14465.02
162,196,10299,22,11039,100012741,38,1017.57
163,196,10300,22,11039,100012741,37,991.07
164,196,10301,22,11039,100012741,10,263.35
165,196,10319,22,11039,100012741,25,669.66
166,196,10320,22,11039,100012741,4,107.14
167,196,10322,22,11039,100012741,31,830.34
168,196,10350,22,11039,100012741,15,361.69
169,196,10308,22,11039,100012741,10,267.83
170,196,10334,22,11039,100012741,14,374.9
171,196,10335,22,11039,100012741,10,263.16
172,236,1582,22,11039,100012741,23,190.87
173,236,1583,22,11039,100012741,31,257.26
174,236,1584,22,11039,100012741,7,58.13
175,240,1077,22,11039,100012741,48,530.98
176,215,983,22,11007,100012839,360,6055.58
177,215,1002,22,11007,100012839,32,537.17
178,215,1003,22,11007,100012839,81,1343.97
179,223,1578,22,11007,100012839,10,16355.0
180,223,1639,22,11007,100012839,204,343821.0
181,236,1011,22,11007,100012839,74,1561.57
182,236,1012,22,11007,100012839,83,1745.9
183,236,1015,22,11007,100012839,35,738.62
184,236,1016,22,11007,100012839,27,568.79
185,236,1026,22,11007,100012839,76,1594.27
186,236,1028,22,11007,100012839,118,2476.26
187,236,1039,22,11007,100012839,26,548.3
188,236,1040,22,11007,100012839,36,757.84
189,236,1043,22,11007,100012839,16,337.54
190,236,1058,22,11007,100012839,6283,131686.71
191,236,1119,22,11007,100012839,12,251.51
192,236,1120,22,11007,100012839,67,1407.54
193,236,1121,22,11007,100012839,2,41.98
194,236,1122,22,11007,100012839,20,420.5
195,236,1381,22,11007,100012839,50,1050.24
196,236,1383,22,11007,100012839,23,483.54
197,236,1384,22,11007,100012839,7,146.83
198,236,1385,22,11007,100012839,28,588.05
199,236,1386,22,11007,100012839,243,5115.73
200,240,1036,22,11007,100012839,7,156.63
201,240,1045,22,11007,100012839,19,425.76
202,240,1068,22,11007,100012839,1,20.66
203,244,10071,22,11007,100012839,961,14205.28
204,244,10081,22,11007,100012839,513,7661.02
205,244,10082,22,11007,100012839,78,1147.17
206,223,1421,22,11007,100012839,12,20226.0
207,196,10298,22,11007,100012839,11172,547994.62
208,196,10299,22,11007,100012839,301,14738.53
209,196,10300,22,11007,100012839,79,3854.44
210,196,10301,22,11007,100012839,20,998.5
211,196,10310,22,11007,100012839,11,827.68
212,196,10319,22,11007,100012839,49,2379.68
