pk_2,count
1069,511
10322,416
1002,300
10299,262
1015,256
1055,248
986,245
1567,242
10081,227
1578,219
10073,211
10298,211
1175,210
1171,208
972,206
1028,205
1386,194
1583,191
1501,189
993,189
1026,178
1058,178
1036,174
1003,161
1546,147
1419,129
1356,127
985,124
1869,113
1381,108
1383,102
10334,102
1012,102
1011,96
1582,96
1016,93
1040,92
10300,90
1121,89
1385,87
1380,84
1119,83
10319,82
10350,80
1523,79
1120,79
1584,79
1366,77
1639,76
1522,74
1044,71
1769,71
10335,71
1122,69
1045,68
1384,67
10071,66
1550,62
1039,62
1548,61
10308,57
1043,54
1421,49
10320,48
1066,44
10310,43
10301,39
1552,37
1054,34
10082,33
1156,32
1519,30
1073,29
969,29
1559,29
1343,24
1068,23
1009,22
10297,21
1046,19
1508,17
983,15
1088,15
1169,15
1050,13
1413,13
1524,13
1491,13
992,13
1304,12
1170,12
10070,12
1299,12
1771,12
1871,12
1585,11
1070,11
1077,10
1966,10
1205,10
1318,10
1179,9
1499,9
1965,9
996,9
1472,8
1775,8
1218,8
1308,8
1211,7
10349,7
1041,7
1302,7
1202,6
1564,6
1320,6
10075,6
1272,5
1518,5
1173,5
1222,5
1489,5
1322,5
10333,5
1326,5
1220,5
1283,4
1561,4
1303,4
1101,4
1174,4
1306,4
1294,4
978,3
10072,3
1013,3
995,3
1339,3
1474,3
1509,3
1521,3
1562,3
1569,3
1064,2
10336,2
981,2
1520,2
1288,2
1476,2
1266,2
1017,2
1602,2
1526,2
1034,2
1403,2
1250,2
10346,2
1422,2
1203,2
1870,2
1035,1
1349,1
1588,1
1279,1
1206,1
10060,1
987,1
975,1
977,1
1047,1
1123,1
