pk_5,count
106148025,53
100016208,50
100012839,49
105076365,45
113140029,45
105307383,44
100012105,43
121250375,43
120257031,42
106139279,42
105046695,41
100074232,41
102411295,41
100012741,41
108096375,40
102291257,40
103563943,40
108044960,39
105000318,39
114110940,39
102091851,39
119446449,38
106139573,38
100012911,38
103123382,38
105336421,37
119122548,37
122652930,37
102179120,37
100017468,36
103192961,35
100016499,35
109602134,35
100074186,35
106140105,34
119122699,33
122555730,33
101884328,33
105323745,33
102149906,32
108096340,32
109452906,32
108181585,32
116472157,32
121776075,31
102112387,31
119446394,31
116885379,31
101010411,31
123069082,30
101058840,30
121425094,29
119943525,29
105306158,29
102212802,29
103888125,29
119446424,29
101099669,29
101183135,29
109580297,29
108687071,28
102973188,28
109861547,28
101010510,28
100016321,28
108988314,28
119338656,28
101693265,27
108673771,27
101282911,27
108683181,26
109693997,26
108687109,25
116283397,25
109694012,25
114173306,25
113079594,25
109456855,25
115417314,25
100012466,24
109765929,24
103935093,24
116609959,24
108207193,24
101099687,24
111199967,24
101369114,24
119204250,24
101000883,23
122069410,23
114110754,23
111199932,23
111199878,23
122643206,23
101015683,23
105088657,23
122042919,23
108683219,23
116235252,23
122756973,23
122069380,23
121250413,22
108672953,22
100012024,22
102266511,22
123069179,22
109355145,21
102387726,21
109460550,21
115633491,21
105026651,21
104149997,21
100073546,21
111199843,21
104125621,21
122996133,21
109452205,21
114435092,21
119203998,20
122069159,20
116446979,20
108666856,20
123069007,20
122923977,20
120257015,20
101860393,20
112235088,20
101860359,19
120748477,19
122661247,19
100073554,19
115156596,19
120860773,19
101973675,19
109460526,19
122756906,19
109460518,19
122756825,19
120042229,18
120042140,18
122130845,18
120261462,18
121773513,18
101079366,18
111721140,18
108692512,18
109774121,18
115459580,18
109356915,18
111671615,18
112958276,18
121968649,18
112957822,18
122734945,18
109580246,18
123068876,18
111721132,18
122131108,18
100073341,18
122996230,17
115030409,17
109289665,17
112957814,17
102775343,17
103217263,17
113238879,17
101114767,17
109288731,17
120468889,17
122756939,17
114542018,17
114173160,17
102266439,17
109289312,17
120203918,17
122069224,17
109289622,17
122756981,17
109452191,17
111436109,17
101826832,17
109460499,17
103311162,17
120590839,17
115488726,17
122659706,16
101495976,16
109487106,16
109286364,16
100016658,16
120808291,16
120603207,16
115200048,16
114048218,16
100012040,16
119672696,16
122756922,16
109452183,16
122967567,16
109460488,16
121904039,16
112093437,16
101237808,16
116365547,16
115459521,16
120603159,16
122305882,16
109288944,16
122069372,16
122366407,16
122926771,16
101488757,16
113942470,16
122089586,15
121765707,15
112481674,15
101735504,15
113079586,15
104149970,15
121302510,15
122892168,15
103391328,15
122756868,15
101826857,15
122734325,15
122888624,15
119419069,15
122068473,15
122734228,15
116885540,15
101826840,15
101353530,15
119338583,15
100016151,15
120808283,15
122089509,15
101272193,15
122734295,15
109459089,15
100073600,15
122302115,15
122734937,15
120601344,14
111668444,14
114605099,14
119901919,14
122643230,14
104939270,14
120807600,14
115030379,14
120603428,14
122888632,14
103656968,14
101793834,14
122734198,14
120601174,14
101950657,14
109459072,14
105000299,14
101950723,14
101571933,14
103937134,14
108684463,14
121301948,14
120603274,14
122069070,14
105000180,14
109288847,14
122734299,14
112957806,14
116738521,14
112481488,14
116885009,14
108601983,14
122607226,14
109826318,14
109326617,13
108037709,13
113942819,13
112959671,13
101052652,13
122887768,13
101798312,13
116336814,13
120586799,13
101793842,13
121662329,13
102671157,13
101477313,13
122949216,13
107025462,13
103657085,13
109289010,13
114541999,13
101129666,13
115444028,13
120475389,13
105028883,13
101950517,13
109289499,13
120611259,13
102775068,13
101572543,13
102765275,13
122069079,13
120602987,13
113942559,13
101793883,13
118709464,13
102939796,13
101571925,13
113523273,13
120603320,12
122089535,12
103436690,12
101065258,12
103479109,12
101041606,12
122661263,12
116674051,12
122043020,12
108602114,12
122497119,12
120601298,12
105102544,12
101515765,12
120601395,12
122980129,12
113942683,12
122186751,12
120007399,12
121778493,12
104937197,12
115156599,12
109289681,12
101003507,12
109286356,12
100013109,11
109398898,11
109289329,11
116520666,11
107025744,11
120601279,11
109460469,11
122968129,11
115552203,11
111398986,11
109355153,11
122117075,11
101842235,11
101798296,11
108673801,11
102014458,11
112537589,11
122550011,11
105000091,11
119716065,11
109289460,11
122226974,11
102122293,10
102120487,10
108684509,10
111398739,10
116520639,10
114771602,10
122924108,10
116423806,10
109289711,10
109284566,10
112958029,10
111418898,10
109456413,10
101571941,10
109629873,10
101883171,10
118605596,10
101826865,10
109510989,10
115767959,10
115995113,10
109288952,10
109459080,10
112470583,10
111506266,10
107024846,10
116059101,10
114281099,10
120878443,10
121691320,10
104211390,10
101005635,10
109214639,10
116321558,10
103888133,10
113104548,10
109284523,10
101005585,9
121511896,9
102216808,9
118161459,9
118118210,9
104912674,9
112362594,9
114281214,9
100017484,9
118710020,9
118193085,9
112615964,9
107025488,9
122293248,9
120878149,9
107025892,9
101892800,9
101015725,9
