pk_4,count
13731,1464
11253,612
11064,607
14567,270
11740,266
11072,212
11019,197
11134,196
13594,186
11010,172
11007,168
12151,160
11002,138
11137,134
12283,127
11516,123
12464,123
11688,121
11259,116
11163,108
11015,103
14412,99
11051,98
11119,96
11016,83
11025,82
12120,80
13359,79
11041,79
12203,77
11069,75
13948,75
11118,74
14366,73
11105,72
11128,71
11299,68
14905,68
12198,68
14605,65
12081,57
13291,51
14041,51
11039,49
12238,48
12272,44
15231,43
11001,43
16139,42
11045,42
12216,42
12208,41
11090,40
12285,40
12182,40
11013,38
13263,38
13656,37
15332,36
12232,36
12194,35
13036,34
11159,34
11131,34
14742,33
15599,33
13732,33
11986,32
14789,32
12111,32
12210,32
16140,30
11117,30
11043,29
12279,29
15717,29
12219,28
11053,28
15531,28
11132,27
15458,27
15724,27
14648,26
12275,26
12948,25
14102,25
11270,25
14643,24
14015,24
12197,24
11050,23
11057,23
14103,23
11109,22
11108,22
12054,22
11415,22
12268,22
13390,21
12284,21
14052,21
11087,20
14976,20
13906,20
11141,19
13063,19
12212,19
12243,19
11042,19
15685,18
14645,18
12089,18
14153,18
14711,18
12306,18
15359,18
14621,17
11003,16
14644,16
11017,16
15530,15
13199,15
15696,15
11282,15
13941,14
16485,14
11179,14
11178,13
12245,13
12347,13
11000,13
12225,13
12207,13
11116,13
14309,13
11966,12
15743,12
13977,12
15843,12
14087,12
13728,12
9999,11
11047,11
11044,11
12063,9
11070,9
14159,9
12959,9
13051,9
14503,9
11356,8
12249,8
12160,8
12040,8
12246,8
14685,8
12250,8
11349,8
15679,8
12274,7
12281,7
15770,7
11040,7
13490,7
12992,7
12619,7
15733,7
14771,6
11789,6
19998,6
11150,6
11023,6
11048,5
14790,4
14995,4
13932,4
12386,4
15528,4
16062,4
15536,3
12960,3
11083,3
11251,3
13952,3
17090,3
13669,3
12222,3
15572,3
12230,3
13818,2
14977,2
12242,2
13849,2
15534,2
12917,2
12237,2
11822,1
12205,1
12193,1
14414,1
11483,1
15478,1
11082,1
14994,1
12263,1
15402,1
11231,1
13426,1
