data_1,count
1,1004
3,877
6,669
2,647
4,545
5,525
8,390
7,378
9,373
10,338
12,288
11,285
15,190
13,175
14,174
16,145
18,138
17,125
20,100
21,96
24,94
19,90
-1,87
22,65
23,63
26,52
36,49
30,46
27,44
31,43
33,41
25,41
-2,41
32,36
29,35
28,34
45,33
39,32
42,32
35,31
48,30
60,29
50,29
72,28
38,26
54,25
44,23
40,22
41,22
53,21
57,20
37,20
69,19
34,19
43,18
58,18
49,16
67,16
51,16
79,16
46,16
73,15
96,15
64,15
65,14
84,14
-3,14
59,13
70,13
55,13
56,13
63,13
86,12
62,11
80,11
100,11
68,11
81,11
87,11
66,11
47,11
78,11
61,10
71,10
108,10
52,9
144,9
180,9
76,9
74,8
-4,8
85,8
95,8
75,7
90,7
124,7
125,7
300,7
82,7
117,6
77,6
150,6
102,6
-5,6
83,6
105,6
156,6
165,6
172,5
168,5
89,5
121,5
-6,5
98,5
111,5
91,5
94,5
132,5
118,5
126,5
148,5
240,4
88,4
104,4
101,4
93,4
216,4
-7,4
336,4
162,4
201,4
92,4
163,4
122,4
141,4
-8,4
103,4
231,4
223,4
158,4
135,4
107,3
281,3
192,3
200,3
151,3
123,3
232,3
99,3
-11,3
280,3
394,3
109,3
480,3
504,3
198,3
190,3
600,3
204,3
228,3
252,3
-13,3
372,3
306,3
800,3
130,3
120,3
218,3
112,3
119,3
186,3
153,3
138,3
189,3
113,3
114,3
251,3
106,3
143,3
393,2
798,2
782,2
243,2
187,2
188,2
116,2
212,2
220,2
379,2
161,2
276,2
182,2
409,2
246,2
358,2
254,2
399,2
195,2
217,2
97,2
147,2
139,2
115,2
420,2
227,2
550,2
342,2
129,2
-12,2
1488,2
-9,2
329,2
1200,2
155,2
350,2
553,2
169,2
1100,2
528,2
149,2
226,2
234,2
152,2
250,2
282,2
450,2
208,2
-34,2
320,2
468,2
167,2
248,2
174,2
-19,2
134,2
264,2
136,2
205,2
576,2
780,2
525,2
648,2
500,2
128,2
540,2
154,2
513,2
175,1
2166,1
127,1
159,1
-30,1
257,1
-14,1
417,1
313,1
1817,1
2400,1
449,1
2448,1
497,1
529,1
185,1
609,1
625,1
665,1
913,1
929,1
289,1
11172,1
337,1
961,1
7266,1
1609,1
1657,1
3792,1
321,1
305,1
2892,1
1272,1
177,1
160,1
184,1
599,1
224,1
567,1
312,1
6676,1
344,1
360,1
2417,1
400,1
408,1
432,1
456,1
464,1
4626,1
607,1
799,1
624,1
6283,1
1391,1
-16,1
3414,1
-24,1
1327,1
1295,1
3342,1
1239,1
1231,1
1183,1
1159,1
1127,1
1119,1
1039,1
2950,1
552,1
672,1
2208,1
2000,1
439,1
-15,1
391,1
383,1
351,1
295,1
279,1
263,1
2112,1
255,1
247,1
2294,1
215,1
137,1
145,1
519,1
3985,1
712,1
1744,1
720,1
768,1
784,1
792,1
912,1
936,1
960,1
968,1
992,1
1000,1
31743,1
1032,1
1152,1
1264,1
1344,1
-33,1
650,1
1670,1
3125,1
636,1
708,1
852,1
876,1
900,1
1020,1
1044,1
1140,1
398,1
1284,1
13578,1
5454,1
1460,1
13810,1
1620,1
1700,1
620,1
572,1
12850,1
532,1
374,1
366,1
4404,1
238,1
140,1
214,1
206,1
284,1
316,1
348,1
380,1
452,1
492,1
516,1
524,1
1716,1
1740,1
1836,1
173,1
245,1
269,1
2324,1
277,1
293,1
301,1
309,1
317,1
381,1
421,1
2524,1
533,1
549,1
605,1
797,1
213,1
933,1
166,1
157,1
142,1
110,1
-43,1
-50,1
2100,1
-42,1
3644,1
1549,1
3308,1
1245,1
5095,1
3036,1
973,1
133,1
949,1
382,1
2463,1
1654,1
1650,1
714,1
914,1
930,1
1002,1
1146,1
1154,1
1626,1
1690,1
430,1
1150,1
942,1
5028,1
-21,1
790,1
750,1
726,1
690,1
2860,1
626,1
602,1
5668,1
1486,1
146,1
1166,1
170,1
178,1
194,1
210,1
314,1
338,1
4440,1
378,1
2451,1
522,1
530,1
630,1
614,1
-69,1
651,1
731,1
747,1
851,1
915,1
7304,1
3314,1
1515,1
3690,1
1899,1
510,1
5501,1
2053,1
494,1
438,1
-28,1
683,1
643,1
566,1
595,1
2599,1
518,1
219,1
259,1
291,1
299,1
331,1
363,1
419,1
25007,1
451,1
475,1
499,1
523,1
531,1
12050,1
